Order ID,Order Status,Order Date,Order Total,Order Currency,Customer Name,Customer`s Billing Email,Cart Discount,Cart Discount Tax,Order Shipping,Order Subscription,Item ID,Product ID,Product Name,Item quantity 
74266,wc-pending,2020-02-27 12:29:39,7.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3895,64066,BATMAN BEYOND #41 FRANCIS MANAPUL VAR ED,1
74266,wc-pending,2020-02-27 12:29:39,7.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3896,64065,BATMAN BEYOND #41,1
74265,wc-pending,2020-02-27 12:29:35,7.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3892,64292,GI JOE A REAL AMERICAN HERO #273 10 COPY INCV ROYLE,1
74265,wc-pending,2020-02-27 12:29:35,7.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3893,64291,GI JOE A REAL AMERICAN HERO #273 CVR B SULLIVAN,1
74265,wc-pending,2020-02-27 12:29:35,7.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3894,64290,GI JOE A REAL AMERICAN HERO #273 CVR A ATKINS,1
74264,wc-pending,2020-02-27 12:29:31,8.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3890,64078,DETECTIVE COMICS #1020 CARD STOCK LEE BERMEJO VAR ED,1
74264,wc-pending,2020-02-27 12:29:31,8.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3891,64077,DETECTIVE COMICS #1020,1
74263,wc-pending,2020-02-27 12:29:30,5.99,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3889,65390,KNIGHTS OF THE DINNER TABLE #273,1
74262,wc-pending,2020-02-27 12:29:29,3.99,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3888,65019,GOLD DIGGER #274,1
74261,wc-pending,2020-02-27 12:29:28,8.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3886,64056,ACTION COMICS #1020 CARD STOCK L PARRILLO VAR ED,1
74261,wc-pending,2020-02-27 12:29:28,8.98,USD,karanoreika12345,karanoreika+12345@gmail.com,0,0,0,yes,3887,64055,ACTION COMICS #1020,1
